Declaration date,,Declaration date,,
1/22/08,,39469.00 ,,
3/12/08,,39519.00 ,,
5/27/08,,39595.00 ,,
5/27/08,,39595.00 ,,
5/28/08,,39596.00 ,,
4/29/09,,39932.00 ,,
10/17/06,,39007.00 ,,
10/19/06,,39009.00 ,,
10/19/06,,39009.00 ,,
10/19/06,,39009.00 ,,
10/19/06,,39009.00 ,,
10/19/06,,39009.00 ,,
8/16/07,,39310.00 ,,
1/10/07,,39092.00 ,,
5/17/09,,39950.00 ,,
10/15/08,,39736.00 ,,
12/9/09,,40156.00 ,,
1/26/10,,40204.00 ,,
3/30/11,,40632.00 ,,
3/30/11,,40632.00 ,,
11/1/06,,39022.00 ,,
11/1/06,,39022.00 ,,
11/1/06,,39022.00 ,,
11/1/06,,39022.00 ,,
2/18/11,,40592.00 ,,
4/13/07,,39185.00 ,,
4/29/09,,39932.00 ,,
4/29/09,,39932.00 ,,
1/8/10,,40186.00 ,,
4/29/09,,39932.00 ,,
1/10/07,,39092.00 ,,
4/29/09,,39932.00 ,,
4/29/09,,39932.00 ,,
4/29/09,,39932.00 ,,
1/8/10,,40186.00 ,,
3/25/09,,39897.00 ,,
10/25/06,,39015.00 ,,
10/17/06,,39007.00 ,,
12/27/06,,39078.00 ,,
10/17/06,,39007.00 ,,
1/16/09,,39829.00 ,,
6/5/07,,39238.00 ,,
1/5/11,,40548.00 ,,
5/30/11,,40693.00 ,,
6/27/08,,39626.00 ,,
8/25/09,,40050.00 ,,
12/21/10,,40533.00 ,,
4/29/09,,39932.00 ,,
1/25/11,,40568.00 ,,
9/21/06,,38981.00 ,,
2/27/09,,39871.00 ,,
4/29/09,,39932.00 ,,
4/29/09,,39932.00 ,,
2/28/11,,40602.00 ,,
4/29/09,,39932.00 ,,
10/18/06,,39008.00 ,,
10/25/06,,39015.00 ,,
8/21/07,,39315.00 ,,
12/30/09,,40177.00 ,,
3/30/10,,40267.00 ,,
4/29/09,,39932.00 ,,
4/29/09,,39932.00 ,,
1/10/07,,39092.00 ,,
3/12/08,,39519.00 ,,
10/25/06,,39015.00 ,,
10/25/06,,39015.00 ,,
10/25/06,,39015.00 ,,
12/27/06,,39078.00 ,,
1/19/07,,39101.00 ,,
1/22/07,,39104.00 ,,
12/22/08,,39804.00 ,,
11/1/06,,39022.00 ,,
1/8/08,,39455.00 ,,
1/8/08,,39455.00 ,,
1/8/08,,39455.00 ,,
1/23/08,,39470.00 ,,
6/27/08,,39626.00 ,,
12/9/10,,40521.00 ,,
5/30/08,,39598.00 ,,
8/25/08,,39685.00 ,,
12/4/09,,40151.00 ,,
12/9/09,,40156.00 ,,
4/26/10,,40294.00 ,,
10/20/10,,40471.00 ,,
4/29/09,,39932.00 ,,
6/5/07,,39238.00 ,,
6/5/07,,39238.00 ,,
9/10/09,,40066.00 ,,
1/21/09,,39834.00 ,,
10/25/06,,39015.00 ,,
4/29/09,,39932.00 ,,
2/4/10,,40213.00 ,,
1/19/07,,39101.00 ,,
1/31/07,,39113.00 ,,
3/25/09,,39897.00 ,,
1/23/08,,39470.00 ,,
3/12/08,,39519.00 ,,
6/22/10,,40351.00 ,,
10/18/06,,39008.00 ,,
11/8/10,,40490.00 ,,
4/26/10,,40294.00 ,,
12/9/10,,40521.00 ,,
12/11/08,,39793.00 ,,
4/29/09,,39932.00 ,,
11/18/09,,40135.00 ,,
4/28/11,,40661.00 ,,
4/29/09,,39932.00 ,,
12/14/10,,40526.00 ,,
10/24/06,,39014.00 ,,
9/18/07,,39343.00 ,,
4/29/09,,39932.00 ,,
6/19/09,,39983.00 ,,
4/29/09,,39932.00 ,,
12/1/10,,40513.00 ,,
12/9/10,,40521.00 ,,
9/17/07,,39342.00 ,,
