time,amount,internalization,outsourcing,if the sitting date time after 2006,year,if the buyer is a bank,export,export to OECD,if the buyer is a chinese organization,classification of the buyer,if the seller is a wholly foreign-owned company,if the seller is a wholly chinese company, if the buyer is a joint venture,classification of the seller,if the seller belongs to IT industry,if the outcome is a patent,if the outcome is a know-hnw,if the outcome with no IP,knowstyle,if the project is a R&D mission, if the project is a technical consultation,it the project is an IP exchange,classification of the contract,Turnover,money,installment,paystyle,payment method
364d,9,1,0,1,2010,0,1,1,0,3,1,0,0,2,0,1,0,0,2,1,0,0,2,1634568610,1634568610,1,3,commission payment
479d,2,0,1,1,2010,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,33000,30000,0,2,One time payment
483d,7,0,1,1,2010,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,51750,51750,0,2,One time payment
364d,1,0,1,1,2010,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,57000,57000,0,2,One time payment
526d,1,0,1,1,2011,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,66700,66700,1,1,Installment payment
365d,1,0,1,1,2010,0,0,0,1,2,1,0,0,2,1,0,0,1,1,1,0,0,2,80000,80000,0,2,One time payment
157d,7,0,1,1,2010,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,90000,90000,0,2,One time payment
157d,7,0,1,1,2010,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,93150,93150,0,2,One time payment
352d,1,0,1,1,2011,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,100000,100000,0,2,One time payment
364d,1,0,1,1,2010,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,104000,104000,0,2,One time payment
358d,1,0,1,1,2011,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,112320,112320,0,2,One time payment
442d,1,0,1,1,2011,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,120000,120000,1,1,Installment payment
354d,1,0,1,1,2011,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,129300,129300,1,1,Installment payment
632d,2,0,1,1,2009,0,0,0,1,2,1,0,0,2,1,1,0,0,2,1,0,0,2,130000,130000,0,2,One time payment
364d,1,0,1,1,2010,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,148700,148700,0,2,One time payment
377d,1,0,1,1,2011,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,172500,172500,1,1,Installment payment
655d,1,0,1,1,2011,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,174700,174700,1,1,Installment payment
1300d,7,0,1,1,2010,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,200000,200000,0,2,One time payment
364d,1,0,1,1,2011,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,207000,207000,0,2,One time payment
182d,2,0,1,1,2007,0,0,0,1,2,1,0,0,2,1,1,0,0,2,1,0,0,2,228998.34,228998.34,0,2,One time payment
548d,2,0,1,1,2008,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,240000,240000,1,1,Installment payment
538d,2,0,1,1,2011,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,281700,281700,1,1,Installment payment
365d,1,0,1,1,2008,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,300000,300000,0,2,One time payment
145d,3,0,1,1,2008,0,0,0,1,2,1,0,0,2,1,1,0,0,2,1,0,0,2,312260.33,312260.33,0,2,One time payment
415d,1,0,1,1,2010,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,315500,315500,1,1,Installment payment
357d,1,0,1,1,2010,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,347220,347220,1,1,Installment payment
305d,7,0,1,1,2009,0,0,0,1,2,1,0,0,2,1,1,0,0,2,1,0,0,2,350000,350000,1,1,Installment payment
176d,1,0,1,1,2008,0,0,0,1,2,1,0,0,2,1,1,0,0,2,1,0,0,2,356318.3,356318.3,0,2,One time payment
540d,3,0,1,1,2009,0,0,0,1,2,1,0,0,2,1,0,0,1,1,1,0,0,2,359000,359000,0,2,One time payment
364d,2,0,1,1,2011,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,479882,479882,1,1,Installment payment
